Subject;Activity;Verb phrases;Noun phrases
Sales;Check Customer Type;checks;Customer Type
Sales;Check solvency;checks;solvency
Sales;Check type of ordered goods;checks;type of|goods
Sales;Send order status information;sends;order status information
Sales;Check Stock Inventory;checks;Stock Inventory
Sales Department;check customer data;checks;customer data
Sales Department;choose customer data;chooses;customer data
Sales Department;check kind of customer;checks;kind of customer
Sales Department;check solvency of customer;checks;solvency of customer
Sales Department;offer prepayment;offers;prepayment
Sales Department;check inventory;checks;inventory
Logistics Department;pack goods;packs;goods
Logistics Department;check payment agreement;checks;payment agreement
Logistics Department;deliver goods;delivers;goods
Financial Department;check delivery status;checks;delivery status
Financial Department;monitor in-payment;monitors in;payment
Financial Department;close order;closes;order
Financial Accounting;Send invoice;sends;invoice
Financial Accounting;Check Payment;checks;Payment
Financial Accounting;Close Order;closes;Order
Financial Accounting;Check number of reminders;checks;number of reminders
Financial Accounting;Start dunning process;starts;dunning process
Financial Accounting;Send reminder;sends;reminder
Sales;Check Costumer;checks;Costumer
Sales;Check if Costumer is a wholesaler;checks;Costumer|wholesaler
Sales;Save Data;saves;Data
Sales;Cancel Order;cancels;Order
Production;Produce goods;produces;goods
Logistic;Send goods;sends;goods
Warehouse;Check Stock;checks;Stock
Service Center;Welcome the customer and ask for his wants;"welcomes;asks for";customer|wants
Service Center;Send him to the advisery service;sends;advisery service
Advisery Service;Welcome the customer and ask what type of account he wants;welcomes;customer|type of account
Advisery Service;Open Saving Account;saves;Account
Advisery Service;Ask if he wants something else;asks;if he wants something else
Advisery Service;Ask for his Age;asks for;Age
Advisery Service;Open Time Deposit;opens;Time Deposit
Advisery Service;Tell him that he is too young and ask if he wants another type;tells;type
Advisery Service;Open Credit;opens;Credit
Advisery Service;Tell him that he is tot young and ask if he wants another type;tells;type
Advisery Service;Thank him and bring him back to the foyer;thanks;foyer
Production;Production;;Production
Sales;Check Customer's Availabilities;checks;Customer's Availabilities
Sales;Enroll Customer;enrolls;Customer
Sales;Check Stock;checks;Stock
Sales;Send Invoice;sends;Invoice
Sales;Prepare Shipment;prepares;Shipment
Sales;Packing Products;packs;Products
Sales;Reject;rejects;
Finance;Check Credit;checks;Credit
Finance;Check Payment;checks;Payment
Finance;Reject;rejects;
Customer Management;check customer;checks;customer
Customer Management;check customer status;checks;customer status
Customer Management;enter customer data;enters;customer data
Customer Management;reject order;rejects;order
Customer Management;check credit bureau entries;checks;credit bureau entries
Sales & Logistics;collect order data;collects;order data
Sales & Logistics;send order confirmation;sends;order confirmation
Sales & Logistics;deliver article;delivers;article
Sales & Logistics;close order;closes;order
Warehousing;check availability;checks;availability
Warehousing;take article;takes;article
Accounting;check payment morale;checks;payment morale
Accounting;send invoice;sends;invoice
Accounting;check payment;checks;payment
Accounting;check reminders;checks;reminders
Accounting;send reminder;sends;reminder
Accounting;engage a lawayer;engages;lawayer
Accounting;reject order;rejects;order
Production;produce article;produces;article
help desk;check purpose of visit;checks;purpose of visit
help desk;inform the account manager;informs;account manager
account manager;create client account;creates;client account
account manager;create personal data;creates;personal data
account manager;create savings account;creates;savings account
account manager;check needs;checks;needs
Sales;confirm Order;confirms;Order
Sales;Create Order Denial;creates;Order Denial
Sales;Price Negotiation;;Price Negotiation
Sales;Send offer;sends;offer
Sales;Order Negotiation;;Order Negotiation
Sales;check database;checks;database
Logistics;Check Availability in Stock;checks;Availability in Stock
Logistics;Pack articles;packs;articles
Logistics;Send articles;sends;articles
Logistics;take out of stock;takes out;stock
Finance Department;Generate Invoice;generates;Invoice
Finance Department;Check payment;checks;payment
Finance Department;Send Payment Confirmation;sends;Payment Confirmation
Finance Department;send new reminder;sends;new reminder
Finance Department;Send invoice;sends;invoice
Sales;check customers;checks;customers
Sales;check customers age;checks;customers age
Sales;save customer data;saves;customer data
Sales;check credit status;checks;credit status
Sales;create customer account;creates;customer account
Sales;do not create an account;creates;account
Sales;create a saving account;creates;account
Sales;create a time desposit;creates;time
Sales;create a current account;creates;current account
Sales;check customer type;checks;customer type
Sales;refuse order;refuses;order
Sales;apply customer to database;applies;customer to database
Sales;send offer;sends;offer
Sales;customer refueses offer;offers;customer refueses
Sales;send confirmation of payment;sends;confirmation of payment
Warehouse;check stock;checks;stock
Financing;check solvency;checks;solvency
Financing;refuse order;refuses;order
Financing;check payment;checks;payment
Financing;prepare invoice;prepares;invoice
Logistics;deliver invoice;delivers;invoice
Logistics;deliver goods;delivers;goods
Logistics;prepare order;prepares;order
Logistics;deliver order;delivers;order
Customer service;ask for customers needs;asks for;customers needs
Customer service;send to customer advisory;sends to;customer advisory
Customer advisory;ask for kind of account;asks for;kind of account
Customer advisory;check age of customer;checks;age of customer
Customer advisory;ask for customer data;asks for;customer data
Customer advisory;open account;opens;account
Customer advisory;advice other account type;advices;other account type
Customer advisory;ask for further needs;asks for;further needs
ABC Bank;Client enters bank;enters;Client|bank
ABC Bank;current account;;current account
ABC Bank;age?;;age
ABC Bank;Declinement the inquiry;declinements;Declinement the inquiry
ABC Bank;close inquiry;closes;inquiry
ABC Bank;save client data;saves;client data
Accounting;start production;starts;production
Accounting;take article;takes;article
Accounting;deliver product;delivers;product
Accounting;close order;closes;order
Accounting;check number of reminders;checks;number of reminders
Accounting;engage a lawyer;engages;lawyer
Sales;reject order;rejects;order
Sales;collect order data;collects;order data
Sales;send order confirmation;sends;order confirmation
Sales;send invoice;sends;invoice
Sales;check payment;checks;payment
Warehousing;check availability;checks;availability
Sales depatrtment;Check if customer already exists;checks;customer
Sales depatrtment;Check credit status;checks;credit status
Sales depatrtment;Check customer requiremets;checks;customer requiremets
Sales depatrtment;Create customer in database;creates;customer in database
Sales depatrtment;Deny customer;denies;customer
Sales depatrtment;Deny order;denies;order
Sales depatrtment;Check availability;checks;availability
Sales depatrtment;Generate order confirmation;generates;order confirmation
Sales depatrtment;Generate invoice;generates;invoice
Sales depatrtment;Send invoice;sends;invoice
Sales depatrtment;Check payment;checks;payment
Sales depatrtment;Check no. of reminders;checks;no. of reminders
Sales depatrtment;Send reminder;sends;reminder
Sales depatrtment;Confirm payment;confirms;payment
Warehouse;Pick articles from storage;picks;articles from storage
Warehouse;Pack articles;packs;articles
Warehouse;Send articles;sends;articles
Sales;Check Customer Data;checks;Customer Data
Sales;Check customer requirements;checks;customer requirements
Sales;deny customer;denies;customer
Sales;create customer;creates;customer
Sales;generate order confirmation;generates;order confirmation
Accounting;check solvency;checks;solvency
Accounting;generate Invoice;generates;Invoice
Accounting;send Invoice;sends;Invoice
Accounting;check No. of reminders;checks;No. of reminders
Accounting;finish order;finishes;order
Dispositon;check availability;checks;availability
Logistics;pick order;picks;order
Logistics;pack articles;packs;articles
Logistics;handover to express company;handovers to;express company
Logistics;send shipping information;sends;shipping information
Sales;enter customer data;enters;customer data
Warehousing;deliver product;delivers;product
bank;contact client;contacts;client
bank;check client pers. data;checks;client pers. data
bank;offer savings account;offers;savings account
bank;offer time desposits;offers;time desposits
bank;offer current account;offers;current account
bank;ask desired accounts;asks;desired accounts
bank;open selected accounts;selects;accounts
Finance;Check solvency;checks;solvency
Finance;accepting order;accepts;order
Finance;Cancel the order;cancels;order
Finance;check the reminder;checks;reminder
Finance;send reminder;sends;reminder
Finance;go to court;goes to;court
Finance;finish the order;finishes;order
Sales;Save customer data;saves;customer data
Sales;Cancel the order;cancels;order
Sales;Check customer status;checks;customer status
Sales;Create order confirmation;creates;order confirmation
Sales;prepare invoice;prepares;invoice
Sales;check for payment;checks for;payment
Warehouse;Check stock;checks;stock
Warehouse;production;;production
Warehouse;get articels;gets;articels
Warehouse;deliver goods;delivers;goods
Logistic;take goods;takes;goods
restaurant;Ask for free table;asks for;free table
restaurant;take a seat;takes;seat
restaurant;leave the restaurant;leaves;restaurant
restaurant;look at the menu;looks at;menu
restaurant;order a salad;orders;salad
restaurant;order a tiramisu;orders;tiramisu
restaurant;order red wine;orders;red wine
restaurant;eat;eats;
restaurant;ask for bill;asks for;bill
restaurant;pay the bill;pays;bill
Itlian Restaurant;Take a seat and ask for the menu;takes;seat|menu
Itlian Restaurant;Order a glass of red wine;orders;glass of red wine
Itlian Restaurant;Order a salad;orders;salad
Itlian Restaurant;Ask for kinds of desserts;asks for;kinds of desserts
Itlian Restaurant;Order a desert;orders;desert
Itlian Restaurant;Do not order a desert;orders;desert
Itlian Restaurant;Ask for the bill;asks for;bill
Itlian Restaurant;Pay the bill;pays;bill
Client;check desert menu;checks;desert menu
Client;take seat;takes;seat
Client;order salad;orders;salad
Client;order wine;orders;wine
Client;order tiramisu;orders;tiramisu
Client;order no desert;orders;desert
Client;have dinner;has;dinner
Client;ask for bill;asks for;bill
Client;pay bill;pays;bill
Client;get wine;gets;wine
Client;get dinner;gets;dinner
Restaurant;Ask for free table;asks for;free table
Restaurant;take a seat;takes;seat
Restaurant;leave restaurant;leaves;restaurant
Restaurant;take a look at the menu;takes;look at the menu
Restaurant;order red wine;orders;red wine
Restaurant;order tiramisu;orders;tiramisu
Restaurant;order salad;orders;salad
Restaurant;eat;eats;
Restaurant;pay the bill;pays;bill
Restaurant;leave;leaves;
Manager;Check Alternative Arrangement;checks;Alternative Arrangement
PayPal Client;Access PayPal Sign Up Page;;Access PayPal Sign Up Page
