;Lane;Task;Verb;NounPhrases;Label;
15849;Sales;Return RFQ to customer;Return;RFQ to customer;;
15850;Sales;Create sales quote;Create;sales quote;;
15851;Customer;To send the RFQ;send;RFQ;Starts with subject;
15852;Sales Department;check availability;check;availability;;
15853;Sales Department;send request to the store;send;request to the store;;
15854;Sales Department;check customer;check;customer;;
15855;Sales Department;reject order;reject;order;;
15856;Sales Department;confirm order;confirm;order;;
15857;Production department;produce;produce;;;
15858;Stock;find the ordered detail;find;detail;;
15859;Stock;deliver to the logistics dep;deliver to;logistics dep;;
15860;Logistics;packing;;packing;;
15861;Logistics;shipping;;shipping;;
15862;Logistics;delivery;;delivery;;
15863;Logistics;change status to paid;change;status to;;
15864;finance department;billing;;billing;;
15865;finance department;receive payment within 2 weeks;receive;payment within|weeks;;
15866;finance department;close order;;close order;;
15867;Sales;check liquidity;check;liquidity;;
15868;Sales;send message to customer;send;message to customer;;
15869;Sales;check stock;check;stock;;
15870;Sales;request to warehouse;;request to warehouse;;
15871;Sales;production order;;production order;;
15872;Sales;check authorization;check;authorization;;
15873;Warehouse;picking;;picking;;
15874;Accounting;invoicing;;invoicing;;
15875;Accounting;book payment;;book payment;;
15876;Accounting;check number of reminder;check;number of reminder;;
15877;Lecturer;Check model;Check;model;;
15878;Lecturer;Assign penalty;Assign;penalty;;
15879;Lecturer;Check;Check;;;
15880;Lecturer;Assign points;Assign;points;;
15881;Lecturer;Consult project;Consult;project;;
15882;Student;Create assigned process;Create assigned;process;;
15883;Student;Extend process;Extend;process;;
15884;Student;Perform work;Perform;work;;
15885;Teacher;Assign team;Assign;team;;
15886;Teacher;check;check;;;
15887;Student;Fix until next session;Fix until;next session;;
15888;Teacher;asign penality points;;asign penality points;;
15889;Teacher;check process assign points;check;process|points;;
15890;Teacher;consult project check progress;consult;project check progress;;
15891;Student;Fix the process untill nex lesson;Fix;process untill nex lesson;;
15892;Student;Extend their process to Level 2, 3;Extend;process to Level 2;Conjunctive clause;
15893;Team;agree on team field;agree on;team field;;
15894;Team;assing rolles in teams;assing;rolles in teams;;
15895;client;enter login and password;enter;login|password;Conjunctive clause;
15896;client;enter bank account and amount;enter;bank account|amount;Conjunctive clause;
15897;client;enter the code;enter;code;;
15898;bank IS;check client login and password;check;client login|password;Conjunctive clause;
15899;bank IS;deny access;deny;access;;
15900;bank IS;log client in;log;client;;
15901;bank IS;check bank account;check;bank account;;
15902;bank IS;check amount;check;amount;;
15903;bank IS;check amount on client acount;check;amount on client acount;;
15904;bank IS;send code by SMS;send;code by SMS;;
15905;bank IS;authorize the payment;authorize;payment;;
15906;bank IS;take off money from client account;take off;money from client account;;
15907;Teacher;Teacher check it;check;Teacher;Starts with subject;
15908;Teacher;penalty points;;penalty points;;
15909;Team;Assigning roles in team;Assigning;roles in team;;
15910;Student;agree upon team field;agree upon;team field;;
15911;Student;Extend their process to Lect.;Extend;process to Lect;;
15912;Student;Perform work according to the role;Perform;work|role;;
15913;Teacher;Assign student on team;Assign;student on team;;
15914;Customer;Bringing defective computer to company;Bringing;defective computer to company;;
15915;Customer;Company branch visit;;Company branch visit;;
15916;Customer;Payment for the services;;Payment for the services;;
15917;Customer;Taking goods from branch;Taking;goods from branch;;
15918;Customer;Getting informations about HW conf. from branch;Getting;informations about HW conf.|branch;;
15919;Customer;Invoices and legal instruments checked;checked;Invoices|legal instruments;Conjunctive clause;
15920;Company;Consulting options with client;;Consulting options with client;;
15921;Company;Checking defects;Checking;defects;;
15922;Company;Calculating cost of repair/new computer;Calculating;cost of repair|new computer;;
15923;Company;Repair of computer;;Repair of computer;;
15924;Company;Create new HW configuration according to client;Create;new HW configuration|client;;
15925;Company;Making of invoice;Making of;invoice;;
15926;Company;Getting positive responce from client;Getting;positive responce from client;;
15927;Company;Fill created invoice by IS;Fill created;invoice by;;
15928;Company;Consulting newoptions with client;;Consulting newoptions with client;;
15929;neoadjuvante Therapie;neoadjuvante Chemotherapie;;neoadjuvante Chemotherapie;;
15930;neoadjuvante Therapie;neoadjuvante Hormontherapie;;neoadjuvante Hormontherapie;;
15931;Sales;Generate sales Quote;Generate;sales Quote;;
15932;Clerk;check if already account;check;already account;Condition;
15933;Clerk;receive report;receive;report;;
15934;Clerk;check amount;check;amount;;
15935;Clerk;approve automatically;approve;;;
15936;Clerk;reimbourse to employee's bank account;reimbourse to;employee|bank account;;
15937;Clerk;create account;create;account;;
15938;Supervisor;evaluate expense report;evaluate;expense report;;
15939;clerk;check account;check;account;;
15940;clerk;review report;;review report;;
15941;clerk;create new account;create;new account;;
15942;clerk;approve expense report;approve;expense report;;
15943;clerk;Expense Reimbursement;;Expense Reimbursement;;
15944;clerk;notify employee;notify;employee;Starts with subject;
15945;clerk;send rejection notice by e-mail;send;rejection notice by e-mail;;
15946;supervisor;evaluate expense report;evaluate;expense report;;
15947;Clerk;Verify employee does already have account;Verify;employee|account;;
15948;Clerk;create new account;create;new account;;
15949;Clerk;Review for automatic approval;;Review for automatic approval;;
15950;Clerk;Automatically approved;approved;;Starts with subject;
15951;Clerk;reimbursement account employee;;reimbursement account employee;;
15952;Clerk;Approval of expense report;;Approval of expense report;;
15953;supervisor;request approval;;request approval;;
15954;supervisor;approve approval;approve;approval;;
15955;supervisor;review approval;;review approval;;
15956;supervisor;receive approval;receive;approval;;
15957;supervisor;send reject approval email;send reject;approval email;;
15958;clerk;automatic approval;;automatic approval;;
15959;clerk;receive reject email;receive reject;email;;
15960;clerk;create account;create;account;;
15961;clerk;check existing account;check existing;account;;
15962;Sales department;Prepare billing;Prepare;billing;;
15963;Billing department;Bill the order;;Bill the order;;
15964;Sales Person;Prepare billing;Prepare;billing;;
15965;Billing department;Start billing;Start;billing;;
15966;Computer repair process;Check defect;Check;defect;;
15967;Computer repair process;Calculate Cost;Calculate;Cost;;
15968;Computer repair process;Send cost calculation to customer;Send;cost calculation to customer;;
15969;Computer repair process;Receive decision client;Receive;decision client;;
15970;Clerck;Create new account;Create;new account;;
15971;Clerck;Check if account exists;Check;account;Condition;
15972;sales;review installation;review;installation;;
15973;installation;solve problems;solve;problems;;
15974;CRS;getting custumor decision;getting;custumor decision;;
15975;Expense Report;Check account;Check;account;;
15976;Expense Report;Create account;Create;account;;
15977;Booking service;cancel booking hotel;cancel;booking hotel;;
15978;Booking service;cancel booking bus;cancel;booking bus;;
15979;Booking service;write log message;write;log message;;
15980;Booking service;check bookings;check;bookings;;
15981;Booking service;invoke attraction service;invoke;attraction service;;
15982;Booking service;receive info;receive;info;;
15983;Booking service;no response;;response;;
15984;booking hotel en bus;check availability hotel;check;availability hotel;;
15985;booking hotel en bus;check availability bus;check;availability bus;;
15986;booking hotel en bus;book hotel;;book hotel;;
15987;booking hotel en bus;book bus;;book bus;;
15988;booking hotel en bus;check booking hotel;check;booking hotel;;
15989;booking hotel en bus;check booking bus;check;booking bus;;
15990;booking hotel en bus;cancel booking hotel;cancel;booking hotel;;
15991;booking hotel en bus;write message log;write;message log;;
15992;booking hotel en bus;cancel booking bus;cancel;booking bus;;
15993;booking extras;book attraction;;book attraction;;
15994;;book attraction;;book attraction;;
15995;;check booking attraction;check;booking attraction;;
15996;Booking service;manual handling;;manual handling;;
15997;Booking service;check availability;check;availability;;
15998;Booking service;check process;check;process;;
15999;Booking service;cancel hotel;cancel;hotel;;
16000;Booking service;cancel bus;cancel;bus;;
16001;;receive signed offer;receive signed;offer;;
16002;;registrate contract acceptation;;registrate contract acceptation;;
16003;;scan offer;;scan offer;;
16004;;registrate competitor if information is available;;registrate competitor|information;Condition;
16005;Customize offer;scan signed offer;signed;scan|offer;Starts with subject;
16006;Customize offer;register contract acceptation;;register contract acceptation;;
16007;instllation;prepare installation;prepare;installation;;
16008;instllation;install services;install;services;;
16009;instllation;solve problems;solve;problems;;
16010;sales person;register order;register;order;;
16011;sales person;review installation;review;installation;;
16012;sales person;prepare billing;prepare;billing;;
16013;sales person;Registrate order;;Registrate order;;
16014;sales person;prepare bill;prepare;bill;;
16015;sales person;contact customer;contact;customer;;
16016;sales manager;evaluate order;evaluate;order;;
16017;installation department;prepare installation;prepare;installation;;
16018;installation department;install service;install;service;;
16019;installation department;solve problem;solve;problem;;
16020;billing department;start billing;start;billing;;
16021;Expense report;reimburse to employee's bank account;reimburse to;employee|bank account;;
16022;Sales person;Register order;;Register order;;
16023;Sales person;contact customer;contact;customer;;
16024;Sales person;Review installation;;Review installation;;
16025;Sales person;Prepare billing;Prepare;billing;;
16026;Sales person;Start billing;Start;billing;;
16027;Sales manager;Evaluates order;Evaluates;order;;
16028;computer repair;shipping computer to repair;;shipping computer to repair;;
16029;computer repair;terugbezorgen computer;;terugbezorgen computer;;
16030;sales person;registrate order;;registrate order;;
16031;Sales Person;Register order;;Register order;;
16032;Sales Person;Inform Customer;Inform;Customer;;
16033;Sales Manager;Evaluate order;Evaluate;order;;
16034;Clerck;Approve Amount;Approve;Amount;;
16035;Clerck;Sent reimbursement;Sent;reimbursement;;
16036;Clerck;Notifie employee;;Notifie employee;;
16037;clerk;reimburse payment;reimburse;payment;;
16038;supervisor;reimburse payement;reimburse;payement;;
16039;sales departement;register order;register;order;;
16040;sales departement;prepare billing;prepare;billing;;
16041;Clerck;Review report;;Review report;;
16042;supervisor;Sent rejection notice;Sent;rejection notice;;
16043;supervisor;Review report;;Review report;;
16044;supervisor;Notifie employee;;Notifie employee;;
16045;Clerk;Review report;;Review report;;
16046;Clerk;Approve report;Approve;report;;
16047;Clerk;Send rejection notice by e-mail;Send;rejection notice by e-mail;;
16048;Supervisor;Evaluate report;Evaluate;report;;
16049;Supervisor;Review report;;Review report;;
16050;Supervisor;Sent rejection notice;Sent;rejection notice;;
16051;Supervisor;Notifie employee;;Notifie employee;;
16052;clerk;check amount;check;amount;;
16053;Computer repair;check software;check;software;;
16054;Computer repair;configure software;configure;software;;
16055;Computer repair;test system functionality;;test system functionality;;
16056;Sales Person;Review installation;;Review installation;;
16057;Installation department;Prepare installation;Prepare;installation;;
16058;Installation department;Install services;Install;services;;
16059;Installation department;Solve installation problem;Solve;installation problem;;
16060;installation department;install services;install;services;;
16061;installation department;solving problems;;solving problems;;
16062;sales departement;receive information rejected order;receive;information|order;;
16063;sales departement;review installation;review;installation;;
16064;Expense report;check if already account;check;already account;Condition;
16065;Expense report;create account;create;account;;
16066;crs;check computerdefect;check;computerdefect;;
16067;crs;hand out repair cost calculation;;hand out repair cost calculation;;
16068;crs;ontvang antwoord klant;;ontvang antwoord klant;;
16069;book vacation;Check request;Check;request;;
16070;Customize offer;prepare message;prepare;message;;
16071;Customize offer;receive answer;receive;answer;;
16072;presenting offer;present offer;;present offer;;
16073;presenting offer;contact customer for address;contact;customer for address;;
16074;presenting offer;receive customer address;receive;customer address;;
16075;;get credit score;get;credit score;;
16076;;check credit score;check;credit score;;
16077;;check income to payment Ratio;check;income to payment Ratio;;
16078;;check credit risk;check;credit risk;;
16079;create customized offer;create an offer;create;offer;;
16080;create customized offer;registrate offer loss;;registrate offer loss;;
16081;create customized offer;registrate competitor information if available;;registrate competitor information;Condition;
16082;create customized offer;cancel offer;cancel;offer;;
16083;loan approvel;evaluate loan;evaluate;loan;;
16084;Loan approval;calculate CreditRisk;calculate;CreditRisk;;
16085;Loan approval;evaluate CreditRisk;evaluate;CreditRisk;;
16086;Loan approval;calculate IncomeTo PaymentRatio;calculate;Income To PaymentRatio;;
16087;Loan approval;evaluate CreditScore;evaluate;CreditScore;;
16088;Loan approval;determine Special Consideration;determine;Special Consideration;;
16089;Customize offer;create offer;create;offer;;
16090;Customize offer;evaluate answer;evaluate;answer;;
16091;Customize offer;receive cancel;receive;cancel;;
16092;clerck;revieuw report;;revieuw report;;
16093;clerck;evaluate expense report;evaluate;expense report;;
16094;clerck;send rejection mail;send;rejection mail;;
16095;clerck;checken account;;checken account;;
16096;clerck;review report;;review report;;
16097;clerck;create account;create;account;;
16098;clerck;send rejection email;send;rejection email;;
16099;clerck;evaluated expense report;evaluated;expense report;;
16100;clerck;Expense Reimbursement paid notification;paid;Expense Reimbursement|notification;Starts with subject;
16101;clerck;Employee is notified;notified;Employee;Starts with subject;
16102;supervisor;evaluate expense report;evaluate;expense report;;
16103;Computer repair;check hardware;check;hardware;;
16104;Computer repair;repair hardware;;repair hardware;;
16105;Computer repair;send repair cost;send;repair cost;;
16106;Computer repair;reveice answer;;reveice answer;;
16107;Installation department;Solve problems;Solve;problems;;
16108;Sales department;Review installation;;Review installation;;
16109;Installation department;Solve problem;Solve;problem;;
16110;Admin Office;check compliance;check;compliance;;
16111;Admin Office;check if highlighted as urgent;check;;Condition;
16112;Admin Office;check for resonse;check for;resonse;;
16113;Admin Office;check no of reminders;check;reminders;;
16114;Data Entery Officer;comlete the days before work;comlete;days before work;;
16115;Data Entery Officer;Check for urgent cases;Check for;urgent cases;;
16116;Data Entery Officer;Lock up vendors in SAP;Lock up;vendors in SAP;;
16117;Data Entery Officer;put in high priority outbox;put in;high priority outbox;;
16118;Validation;Sort per client;;Sort per client;;
16119;Validation;Print a report fro recent invoices;Print;report fro recent invoices;;
16120;Validation;Check urgent;Check;;;
16121;Payment Officer;Pay invoice;Pay;invoice;;
16122;Payment Officer;generate payment report;generate;payment report;;
16123;Registery;Select invoice........;Select;invoice;;
16124;Registery;Archive invoices per vendor;;Archive invoices per vendor;;
16125;Registery;Archive invoices per payment;;Archive invoices per payment;;
16126;Master data entry department;Enter new vendor;Enter;new vendor;;
16127;Client;edit the invoice;edit;invoice;;
16128;Client;Receive Reminder;Receive;Reminder;;
16129;Client;Check number of reminder;Check;number of reminder;;
16130;Registry;Select paper-based invoice;Select;paper|invoice;;
16131;Registry;Archive invoices per payment;;Archive invoices per payment;;
16132;SSP (Validation);Sort per client;;Sort per client;;
16133;SSP (Validation);Print a report for recent invoices;Print;report for recent invoices;;
16134;SSP (Validation);Check urgent invoices;Check;urgent invoices;;
16135;Experience;Call client;;Call client;;
16136;Experience;Require information;Require;information;;
16137;Admin Office;Check if invoice highlighted as urgent;Check;invoice;Condition;
16138;Admin Office;Follow-up with client;Follow;client;;
16139;Admin Office;Check no. of reminders;Check;no. of reminders;;
16140;Admin Office;Contact client;;Contact client;;
16141;Data Entry Officer;Complete the work of days before;Complete;work of days;;
16142;Data Entry Officer;Check for urgent cases;Check for;urgent cases;;
16143;Data Entry Officer;Lock up for vendors in SAP;Lock up;vendors in SAP;;
16144;Client;Edit the invoice;;Edit the invoice;;
16145;Recruitment Manager;Check vacancy;Check;vacancy;;
16146;Recruitment Manager;Review position profile with HR representative and client next level management;;Review position profile with HR representative|client next level management;Conjunctive clause;
16147;Recruitment Manager;Check consistencies between position profile and actual rule;Check;consistencies between position profile|actual rule;Conjunctive clause;
16148;Recruitment Manager;Check demand for the role;Check;demand for the role;;
16149;Recruitment Manager;consult with next level manager or client HR services about new position;consult with;next level manager|client HR services about new position;Disjunctive clause;
16150;Recruitment Manager;complete and create or change postion form for approval with client's HR representative;create;change postion form for approval|client|HR representative;Conjunctive clause;
16151;Recruitment Manager;Reviewed terms and conditions;Reviewed;terms|conditions;Conjunctive clause;
16152;Recruitment Manager;Assemble a selection panel;Assemble;selection panel;;
16153;Recruitment Manager;confirm availability of recruitment panel;confirm;availability of recruitment panel;;
16154;Recruitment Manager;complete the required documentation;complete;documentation;;
16155;Recruitment Manager;Submit business case to client's HR services and management;Submit;business case to client|HR services|management;Conjunctive clause;
16156;Manager;revise the position porfile;revise;position porfile;;
16157;Manager;Approve terms and conditions;Approve;terms|conditions;Conjunctive clause;
16158;Next level manager;Review;;Review;;
16159;Next level manager;approve by next level manager;approve by;next level manager;;
16160;Recruitment manager;Advice candidates verbally that their application has been unsuccessful;;Advice candidates|application;;
16161;Recruitment manager;Decide the terms and conditions of the offer;Decide;terms|conditions of the offer;Conjunctive clause;
16162;Recruitment manager;Discuss certain aspects of the position with candidate;Discuss;certain aspects of the position|candidate;;
16163;Recruitment manager;Investigate the details;Investigate;details;;
16164;Recruitment manager;Disclosed info to client manager and HR representative;Disclosed;info to client manager|HR representative;Conjunctive clause;
16165;Recruitment manager;Check appointment approval;Check;appointment approval;;
16166;Recruitment manager;Send appointment approval with mandatory documentation;Send;appointment approval with mandatory documentation;;
16167;Recruitment manager;Scan a copy of completed form in GovSourse system;Scan;copy of|form in GovSourse system;;
16168;Recruitment manager;Attach a complete business case to appointment approval;Attach;complete business case to appointment approval;;
16169;Recruitment manager;Store a copy in GovSource system;Store;copy in GovSource system;;
16170;Recruitment manager;Liaises HR representative to determine when made offer to candidate;determine;Liaises HR representative|offer to candidate;Starts with subject;
16171;Recruitment manager;Make formal verbal offer;Make;formal verbal offer;;
16172;Recruitment manager;HR representative makes a formal written offer;makes;HR representative|offer;Bad prefix;
16173;Recruitment manager;Renegotiation with candidate;;Renegotiation with candidate;;
16174;Recruitment manager;Send a letter of appointment with a commencement pack;Send;letter of appointment|commencement pack;;
16175;Recruitment manager;Close vacancy;;Close vacancy;;
16176;HR coordinator;Check need of medical assessment;Check;need of medical assessment;;
16177;HR coordinator;Arrange for medical test;Arrange for;medical test;;
16178;HR coordinator;Inform Recruitment manager;Inform;Recruitment manager;;
16179;Client-next level manager;Contact HR service or recruitment manager;Contact;HR service|recruitment manager;Disjunctive clause;
16180;Client-next level manager;Arrange for next level manager who is permanent employee for approval;Arrange for;next level manager|permanent employee for approval;;
16181;Client-next level manager;Approve the appointment;Approve;appointment;;
16182;Admin and clerical staff;Package applications;;Package applications;;
16183;Admin and clerical staff;Print digital copies;Print;digital copies;;
16184;Admin and clerical staff;Check completeness;Check;completeness;;
16185;HR coordinator;Set up vacancy in GovSource;Set up;vacancy in GovSource;;
16186;HR coordinator;Create advertisement;Create;advertisement;;
16187;HR coordinator;Publish the advertisement;Publish;advertisement;;
16188;HR coordinator;Make copies for recruitment manager and panel members;Make;copies for recruitment manager|panel members;Conjunctive clause;
16189;HR coordinator;make a copy for TS HR archives room;make;copy for TS HR archives room;;
16190;HR coordinator;delivered applications to Recruitment manager;delivered;applications to Recruitment manager;;
16191;HR service;Publish the advertisement;Publish;advertisement;;
16192;Agency;granted an access to the specified job in GovSource;granted;access to the|job in GovSource;;
16193;Agency;Receive an applications;Receive;applications;;
16194;Agency;Check completeness;Check;completeness;;
16195;Agency;retain a copy for themselves;retain;copy for;;
16196;TS;Check vacancy;Check;vacancy;;
16197;TS;Review position profile with HR representative and client next level management;;Review position profile with HR representative|client next level management;Conjunctive clause;
16198;TS;Check consistencies between position profile and actual rule;Check;consistencies between position profile|actual rule;Conjunctive clause;
16199;TS;Check demand for the role;Check;demand for the role;;
16200;TS;consult with next level manager or client HR services about new position;consult with;next level manager|client HR services about new position;Disjunctive clause;
16201;TS;complete and create or change postion form for approval with client's HR representative;create;change postion form for approval|client|HR representative;Conjunctive clause;
16202;TS;Reviewed terms and conditions;Reviewed;terms|conditions;Conjunctive clause;
16203;TS;Assemble a selection panel;Assemble;selection panel;;
16204;TS;confirm availability of recruitment panel;confirm;availability of recruitment panel;;
16205;TS;complete the required documentation;complete;documentation;;
16206;TS;Submit business case to client's HR services and management;Submit;business case to client|HR services|management;Conjunctive clause;
16207;TS recruitment manager;Consolidate ranking sheet;Consolidate;ranking sheet;;
16208;TS recruitment manager;set panel meeting session to select top 20 candidates;set;panel meeting session|candidates;;
16209;Panellist;Fill evaluation sheet;Fill;evaluation sheet;;
16210;Admin assistant;collect the referee reports;collect;referee reports;;
16211;Admin assistant;Send a referee report to complete;Send;referee report to;;
16212;Admin assistant;Send to archive;Send to;archive;;
16213;Recruitment manager;Conduct a meeting to select 5-8 candidates;Conduct;meeting|candidates;;
16214;TS - Recruitment manager;Arrange for interview logistics;Arrange for;interview logistics;;
16215;TS - Recruitment manager;Provide panels a structured interview template;Provide;panels a|interview template;;
16216;TS - Recruitment manager;Select the candidate;Select;candidate;;
16217;Client-HR advisor;undergo a psychometric test;undergo;psychometric test;;
16218;transaction;book hotel;;book hotel;;
16219;transaction;book bus;;book bus;;
16220;transaction;attraction booking;;attraction booking;;
16221;transactional sub-process;Book a Bus;Book;Bus;;
16222;transactional sub-process;Book in Hotel;;Book in Hotel;;
16223;transactional sub-process;Cancel Transaction;Cancel;Transaction;;
16224;Customer;Decide on search type;Decide on;search type;;
16225;Customer;Enter/Refine search keywords;Enter;search keywords;;
16226;Customer;Decide on type of shopping;Decide on;type of shopping;;
16227;Customer;Decide on continuing the shopping;Decide;shopping;;
16228;SSP Admin Officer;Sort Batch Containing Invoice per Client;Containing;Sort Batch|Invoice per Client;Starts with subject;
16229;SSP Admin Officer;Check Invoice for Completeness;Check;Invoice for Completeness;;
16230;SSP Admin Officer;Enter Deadline According to SLA;Enter;Deadline|SLA;;
16231;SSP Admin Officer;Inspect For Previous Delays;Inspect For;Previous Delays;;
16232;SSP Admin Officer;Highlight As Urgent;;Highlight As;;
16233;SSP Admin Officer;Check For Compliance;Check For;Compliance;;
16234;SSP Admin Officer;Sort Batch Containing Invoice per Vendor;Containing;Sort Batch|Invoice per Vendor;Starts with subject;
16235;SSP Admin Officer;Attach Invoice Entry Form;Attach;Invoice Entry Form;;
16236;SSP Admin Officer;Fill Invoice Entry Form;Fill;Invoice Entry Form;;
16237;SSP Admin Officer;Lookup SLA;;Lookup SLA;;
16238;Master Data Entry Department;Create Vendor Master Record;Create;Vendor Master Record;;
16239;Master Data Entry Department;Add SAP Vendor# to Invoice Entry Form;Add;SAP Vendor# to Invoice Entry Form;;
16240;Registry;Archive Invoice and Payment Report;;Archive Invoice|Payment Report;Conjunctive clause;
16241;Payment Office;Perform Payment Process;Perform;Payment Process;;
16242;Accounts receivable Department;Generate Monthly Invoice;Generate;Monthly Invoice;;
16243;Accounts receivable Department;Charge Client;;Charge Client;;
16244;SSP Data Entry Officer;Lookup SAP Vendor Number;;Lookup SAP Vendor Number;;
16245;SSP Data Entry Officer;Add SAP Vendor# to Invoice Entry Form;Add;SAP Vendor# to Invoice Entry Form;;
16246;SSP Data Entry Officer;Create Vendor Master Record Request;Create;Vendor Master Record Request;;
16247;SSP Data Entry Officer;Sort Batch by Vendor;;Sort Batch by Vendor;;
16248;SSP Data Entry Officer;Sort By Price;;Sort By Price;;
16249;SSP Data Entry Officer;Enter Invoice Data in SAP;Enter;Invoice Data in SAP;;
16250;SSP Data Entry Officer;Tag Invoice Entered on Invoice Entry Form;Entered on;Tag Invoice|Invoice Entry Form;Starts with subject;
16251;SSP Validation Officer;Highlight 'Has Error' Invoice Entry Form;Has;Highlight|Error|Invoice Entry Form;Starts with subject;
16252;SSP Validation Officer;Compare Paper Invoice With Entered Invoice;Compare;Paper Invoice With|Invoice;;
16253;SSP Validation Officer;Record Number of Mistakes;;Record Number of Mistakes;;
16254;SSP Validation Officer;Check Invoice Entered Correctly on Invoice Entry Form;Check;Invoice|Invoice Entry Form;;
16255;SSP Validation Officer;Change Status To Validated in SAP;Validated in;Change Status To|SAP;Starts with subject;
16256;SSP Validation Officer;Print Report With Invoices For Client;Print;Report With Invoices|Client;;
16257;SSP Validation Officer;Sort Batch Containing Invoice;Containing;Sort Batch|Invoice;Starts with subject;
16258;Employee;Enter Employee ID;Enter;Employee ID;;
16259;Employee;Employee Login;;Employee Login;;
16260;Employee;Select Time Sheet;Select;Time Sheet;;
16261;Employee;Select Leave Management;Select;Leave Management;;
16262;Employee;Enter Number of Days Required For Leave;Enter;Number of Days|Leave;;
16263;Employee;Select the days of work in a week;Select;days of work|week;;
16264;Employee;Enter the total number of hours completed;Enter;total number of hours;;
16265;Employee;Salary Received;Received;Salary;Starts with subject;
16266;Employee;Leave Grant received;Leave;Grant;;
16267;Seventh Sense;Checks database for the number of days allowed;allowed;Checks database for the number|days;Starts with subject;
16268;Seventh Sense;Leave could be taken;Leave;n;;
16269;Seventh Sense;Leave cannot be taken;Leave;n;;
16270;Seventh Sense;Checks for the type of leave;;Checks for the type|leave;;
16271;Seventh Sense;Leave Granted;Leave Granted;;;
16272;Manager;Checks if any work for employee pending;Checks;work for employee pending;Condition;
16273;Manager;Leave Granted;Leave Granted;;;
16274;Manager;Leave not granted;Leave;;;
16275;Payroll;Checks with Seventh Sense system;;Checks with Seventh Sense system;;
16276;Payroll;Calculates the total amount to be paid;Calculates;total amount;;
16277;Payroll;Salary sent to the employee;sent to;Salary|employee;Starts with subject;
16278;Client;Succeful Payment of invoice;;Succeful Payment of invoice;;
16279;Mail Centre;Received Invoice;Received;Invoice;;
16280;Mail Centre;Confirm Invoice;Confirm;Invoice;;
16281;Mail Centre;Approve Invoice;Approve;Invoice;;
16282;Mail Centre;Reject Invoice;Reject;Invoice;;
16283;Mail Centre;Invoices opened and categorised;opened;Invoices;Conjunctive clause;
16284;Admin Officer;Sort Invoice by Client;;Sort Invoice by Client;;
16285;Admin Officer;Sort Invoice by Vendor;;Sort Invoice by Vendor;;
16286;Admin Officer;Manual data entry of invoice;;Manual data entry of invoice;;
16287;Admin Officer;Review invoice completeness;;Review invoice completeness;;
16288;Admin Officer;Incomplete;;;Invalid name;
16289;Admin Officer;Complete;;;Invalid name;
16290;Admin Officer;Prioritise invoice;Prioritise;invoice;;
16291;Admin Officer;Urgent;;;Invalid name;
16292;Admin Officer;Non-Urgent;;Non;;
16293;Admin Officer;Highlight invoice;Highlight;invoice;;
16294;Admin Officer;Compliance check on invoice;;Compliance check on invoice;;
16295;Admin Officer;Compliant;;;Invalid name;
16296;Admin Officer;Non-Compliant;;;Invalid name;
16297;Admin Officer;Allocate for Data entry;Allocate for;Data entry;;
16298;Data entry officers;Collect allocated invoices;Collect allocated;invoices;;
16299;Data entry officers;Check for urgent invoices;Check for;urgent invoices;;
16300;Data entry officers;Non-Urgent;;Non;;
16301;Data entry officers;Urgent;;;Invalid name;
16302;Data entry officers;Process imediately;;Process;;
16303;Data entry officers;Invoice placed in high priority box;placed in;Invoice|high priority box;Starts with subject;
16304;Data entry officers;Sort invoice on existing details;existing;Sort invoice on|details;Starts with subject;
16305;Data entry officers;Vendor registered in the system;registered in;Vendor|system;Starts with subject;
16306;Data entry officers;Vendor not registered in the system;registered in;Vendor|system;Starts with subject;
16307;Data entry officers;Request for master vendor form;;Request for master vendor form;;
16308;Data entry officers;Staples complete master vendor form to invoice;;Staples complete master vendor form to invoice;;
16309;Data entry officers;Submit in outbox for invoices requiring new SAP master record;Submit in;outbox for invoices|new SAP master record;;
16310;Data entry officers;New SAP vendor registered;registered;New SAP vendor;Starts with subject;
16311;Data entry officers;Input vendor number on invoice;;Input vendor number on invoice;;
16312;Data entry officers;Enter invoice on SAP system;Enter;invoice on SAP system;;
16313;Data entry officers;Re-sort invoices per vendor;;sort invoices per vendor;;
16314;Data entry officers;Invoices 0≤$2500;;Invoices 0 ≤;;
16315;Data entry officers;Invoices is entered in the SAP system;entered in;Invoices|SAP system;Starts with subject;
16316;Data entry officers;Search vendor on SAP system;;Search vendor on SAP system;;
16317;Validation Officer;Sort invoices by client;;Sort invoices by client;;
16318;Validation Officer;Prints report of recently entered invoices;entered;Prints report of|invoices;Starts with subject;
16319;Validation Officer;Sort urgency of invoice;;Sort urgency of invoice;;
16320;Validation Officer;Non-Urgent;;Non;;
16321;Validation Officer;Process validation immediately;;Process validation;;
16322;Validation Officer;Urgent;;;Invalid name;
16323;Validation Officer;Compares report with original invoice;Compares;report with original invoice;;
16324;Validation Officer;Errors on invoice;;Errors on invoice;;
16325;Validation Officer;No errors;;errors;;
16326;Validation Officer;Record errors;;Record errors;;
16327;Validation Officer;Invoice is entered;entered;Invoice;Starts with subject;
16328;Validation Officer;Log onto SAP system;Log onto;SAP system;;
16329;Validation Officer;Change status of invoice to validated;validated;Change status of invoice;Starts with subject;
16330;Validation Officer;invoice is ready for payment;;invoice|payment;;
16331;Payment Office;Automated payment report generated;generated;Automated payment report;Starts with subject;
